'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:04.586',0.082,-0.683,-0.765,0.300,0.424,-0.725,0.132,0.459,0.884,0.520,0.007,0.429,0.084,-0.333,-0.149
'0:04.587',0.083,-0.682,-0.764,0.299,0.424,-0.724,0.128,0.453,0.881,0.519,0.009,0.431,0.086,-0.332,-0.146
'0:04.588',0.086,-0.678,-0.765,0.295,0.426,-0.722,0.131,0.451,0.878,0.520,0.013,0.435,0.087,-0.330,-0.142
'0:04.589',0.087,-0.675,-0.763,0.294,0.425,-0.720,0.131,0.449,0.876,0.521,0.015,0.436,0.088,-0.326,-0.141
'0:04.590',0.082,-0.680,-0.761,0.298,0.422,-0.721,0.130,0.445,0.875,0.521,0.018,0.439,0.088,-0.331,-0.142
'0:04.591',0.079,-0.684,-0.763,0.302,0.421,-0.724,0.126,0.439,0.869,0.518,0.018,0.438,0.087,-0.334,-0.139
'0:04.592',0.081,-0.681,-0.762,0.300,0.422,-0.722,0.124,0.432,0.864,0.516,0.018,0.435,0.086,-0.332,-0.137
'0:04.593',0.081,-0.680,-0.760,0.299,0.421,-0.720,0.123,0.427,0.861,0.514,0.019,0.435,0.087,-0.332,-0.139
'0:04.594',0.079,-0.684,-0.762,0.303,0.421,-0.724,0.123,0.425,0.857,0.514,0.020,0.438,0.087,-0.332,-0.138
'0:04.595',0.084,-0.682,-0.765,0.299,0.424,-0.724,0.121,0.419,0.853,0.514,0.021,0.438,0.086,-0.331,-0.136
'0:04.596',0.086,-0.678,-0.764,0.296,0.425,-0.722,0.119,0.415,0.847,0.511,0.020,0.435,0.086,-0.331,-0.128
'0:04.597',0.080,-0.688,-0.767,0.304,0.423,-0.727,0.120,0.410,0.843,0.510,0.020,0.434,0.082,-0.336,-0.120
'0:04.598',0.079,-0.689,-0.767,0.305,0.423,-0.729,0.119,0.404,0.838,0.507,0.015,0.432,0.079,-0.335,-0.120
'0:04.599',0.080,-0.691,-0.770,0.305,0.425,-0.730,0.116,0.396,0.828,0.500,0.011,0.426,0.076,-0.339,-0.117
'0:04.600',0.079,-0.697,-0.775,0.309,0.427,-0.737,0.113,0.391,0.820,0.494,0.009,0.422,0.072,-0.347,-0.114
'0:04.601',0.077,-0.696,-0.773,0.309,0.425,-0.735,0.113,0.386,0.812,0.491,0.004,0.420,0.070,-0.350,-0.114
'0:04.602',0.076,-0.696,-0.772,0.310,0.424,-0.735,0.110,0.379,0.804,0.487,0.002,0.416,0.068,-0.351,-0.114
'0:04.603',0.075,-0.697,-0.772,0.310,0.424,-0.735,0.110,0.371,0.797,0.481,-0.005,0.410,0.064,-0.351,-0.111
'0:04.604',0.073,-0.703,-0.776,0.314,0.425,-0.740,0.109,0.364,0.790,0.476,-0.009,0.407,0.060,-0.353,-0.103
'0:04.605',0.071,-0.711,-0.782,0.319,0.427,-0.746,0.106,0.357,0.780,0.468,-0.015,0.400,0.054,-0.356,-0.098
'0:04.606',0.070,-0.715,-0.784,0.323,0.427,-0.750,0.105,0.349,0.772,0.459,-0.021,0.392,0.049,-0.361,-0.095
'0:04.607',0.068,-0.721,-0.788,0.327,0.427,-0.754,0.105,0.344,0.766,0.454,-0.025,0.388,0.043,-0.365,-0.093
'0:04.608',0.068,-0.727,-0.794,0.330,0.431,-0.760,0.105,0.339,0.757,0.447,-0.030,0.381,0.036,-0.370,-0.088
'0:04.609',0.065,-0.731,-0.796,0.333,0.431,-0.763,0.103,0.332,0.748,0.439,-0.035,0.372,0.030,-0.372,-0.084
'0:04.610',0.064,-0.734,-0.796,0.335,0.430,-0.765,0.105,0.327,0.740,0.431,-0.041,0.366,0.023,-0.373,-0.084
'0:04.611',0.062,-0.745,-0.806,0.341,0.434,-0.775,0.105,0.318,0.730,0.424,-0.049,0.359,0.016,-0.383,-0.077
'0:04.612',0.059,-0.753,-0.813,0.347,0.436,-0.783,0.103,0.310,0.720,0.414,-0.056,0.350,0.011,-0.385,-0.070
'0:04.613',0.059,-0.756,-0.815,0.349,0.437,-0.786,0.101,0.305,0.711,0.405,-0.062,0.343,0.004,-0.385,-0.067
'0:04.614',0.050,-0.766,-0.815,0.358,0.432,-0.790,0.100,0.297,0.701,0.396,-0.070,0.335,-0.005,-0.393,-0.064
'0:04.615',0.046,-0.772,-0.819,0.362,0.433,-0.795,0.106,0.293,0.693,0.386,-0.079,0.327,-0.015,-0.403,-0.059
'0:04.616',0.051,-0.774,-0.825,0.361,0.438,-0.799,0.112,0.291,0.685,0.381,-0.085,0.320,-0.022,-0.407,-0.058
'0:04.617',0.048,-0.782,-0.831,0.367,0.440,-0.806,0.111,0.286,0.677,0.374,-0.091,0.312,-0.029,-0.410,-0.054
'0:04.618',0.044,-0.792,-0.838,0.373,0.441,-0.815,0.112,0.279,0.667,0.364,-0.099,0.303,-0.036,-0.418,-0.051
'0:04.619',0.043,-0.798,-0.841,0.378,0.442,-0.820,0.111,0.274,0.658,0.355,-0.105,0.296,-0.043,-0.420,-0.050
'0:04.620',0.042,-0.804,-0.846,0.381,0.444,-0.825,0.111,0.269,0.651,0.347,-0.112,0.288,-0.050,-0.425,-0.043
'0:04.621',0.038,-0.811,-0.850,0.387,0.444,-0.831,0.115,0.264,0.644,0.340,-0.118,0.281,-0.059,-0.436,-0.039
'0:04.622',0.033,-0.817,-0.850,0.392,0.442,-0.834,0.117,0.264,0.639,0.336,-0.123,0.276,-0.068,-0.444,-0.036
'0:04.623',0.029,-0.824,-0.853,0.397,0.442,-0.838,0.117,0.257,0.629,0.325,-0.131,0.268,-0.075,-0.448,-0.032
'0:04.624',0.031,-0.829,-0.860,0.399,0.446,-0.844,0.116,0.246,0.616,0.313,-0.141,0.255,-0.084,-0.449,-0.027
'0:04.625',0.030,-0.835,-0.865,0.402,0.448,-0.850,0.114,0.239,0.609,0.303,-0.149,0.246,-0.090,-0.453,-0.026
'0:04.626',0.025,-0.840,-0.864,0.407,0.445,-0.852,0.113,0.234,0.602,0.292,-0.154,0.238,-0.097,-0.456,-0.025
'0:04.627',0.024,-0.844,-0.868,0.410,0.447,-0.856,0.115,0.233,0.597,0.288,-0.160,0.234,-0.102,-0.462,-0.021
'0:04.628',0.025,-0.848,-0.873,0.411,0.450,-0.861,0.118,0.231,0.593,0.284,-0.164,0.230,-0.108,-0.462,-0.017
'0:04.629',0.022,-0.852,-0.874,0.414,0.449,-0.863,0.118,0.228,0.586,0.277,-0.171,0.221,-0.115,-0.464,-0.015
'0:04.630',0.018,-0.861,-0.878,0.421,0.448,-0.870,0.118,0.222,0.578,0.270,-0.177,0.214,-0.121,-0.470,-0.013
'0:04.631',0.018,-0.867,-0.884,0.424,0.451,-0.875,0.119,0.218,0.572,0.265,-0.182,0.209,-0.126,-0.476,-0.011
'0:04.632',0.017,-0.873,-0.889,0.427,0.454,-0.881,0.118,0.215,0.567,0.258,-0.186,0.205,-0.129,-0.478,-0.008
'0:04.633',0.011,-0.881,-0.892,0.434,0.453,-0.886,0.119,0.209,0.558,0.247,-0.193,0.198,-0.134,-0.484,-0.003
'0:04.634',0.009,-0.886,-0.894,0.439,0.452,-0.890,0.121,0.205,0.552,0.242,-0.197,0.193,-0.141,-0.492,-0.003
'0:04.635',0.007,-0.889,-0.896,0.441,0.452,-0.893,0.121,0.203,0.548,0.238,-0.201,0.185,-0.147,-0.494,-0.002
'0:04.636',0.005,-0.893,-0.898,0.444,0.452,-0.896,0.119,0.201,0.542,0.234,-0.204,0.181,-0.152,-0.498,0.003
'0:04.637',0.005,-0.892,-0.898,0.444,0.452,-0.895,0.123,0.199,0.538,0.231,-0.206,0.178,-0.153,-0.498,0.005
'0:04.638',0.007,-0.893,-0.901,0.443,0.455,-0.897,0.129,0.199,0.534,0.226,-0.210,0.173,-0.158,-0.499,0.004
'0:04.639',0.007,-0.898,-0.905,0.445,0.457,-0.901,0.128,0.196,0.528,0.220,-0.213,0.168,-0.162,-0.505,0.006
'0:04.640',0.005,-0.903,-0.908,0.449,0.457,-0.905,0.126,0.193,0.523,0.213,-0.220,0.162,-0.166,-0.509,0.010
'0:04.641',0.001,-0.903,-0.905,0.451,0.454,-0.904,0.127,0.191,0.518,0.210,-0.223,0.157,-0.172,-0.511,0.009
'0:04.642',-0.002,-0.906,-0.904,0.454,0.452,-0.905,0.128,0.190,0.515,0.206,-0.225,0.154,-0.175,-0.514,0.010
'0:04.643',0.001,-0.915,-0.916,0.457,0.459,-0.915,0.128,0.188,0.513,0.203,-0.228,0.150,-0.180,-0.523,0.011
'0:04.644',0.001,-0.920,-0.922,0.460,0.462,-0.921,0.128,0.185,0.507,0.198,-0.234,0.144,-0.183,-0.527,0.014
'0:04.645',-0.003,-0.923,-0.921,0.463,0.459,-0.922,0.127,0.183,0.502,0.190,-0.240,0.139,-0.186,-0.525,0.017
'0:04.646',-0.009,-0.927,-0.919,0.468,0.456,-0.923,0.127,0.177,0.497,0.184,-0.243,0.135,-0.191,-0.525,0.017
'0:04.647',-0.009,-0.929,-0.919,0.469,0.456,-0.924,0.129,0.175,0.493,0.182,-0.244,0.134,-0.193,-0.525,0.017
'0:04.648',-0.006,-0.929,-0.923,0.468,0.459,-0.926,0.130,0.175,0.491,0.179,-0.247,0.131,-0.196,-0.530,0.018
'0:04.649',-0.006,-0.934,-0.928,0.470,0.461,-0.931,0.131,0.172,0.489,0.175,-0.251,0.126,-0.201,-0.534,0.019
'0:04.650',-0.007,-0.936,-0.929,0.471,0.462,-0.932,0.133,0.173,0.488,0.173,-0.253,0.123,-0.203,-0.536,0.018
'0:04.651',-0.009,-0.940,-0.930,0.474,0.461,-0.935,0.131,0.172,0.483,0.169,-0.257,0.120,-0.205,-0.535,0.027
'0:04.652',-0.012,-0.943,-0.930,0.477,0.460,-0.936,0.130,0.171,0.481,0.166,-0.259,0.119,-0.206,-0.533,0.026
'0:04.653',-0.013,-0.940,-0.927,0.476,0.458,-0.933,0.131,0.169,0.478,0.163,-0.259,0.118,-0.208,-0.535,0.016
'0:04.654',-0.013,-0.939,-0.926,0.476,0.457,-0.932,0.132,0.168,0.477,0.161,-0.259,0.115,-0.211,-0.535,0.021
'0:04.655',-0.009,-0.940,-0.931,0.474,0.462,-0.935,0.134,0.170,0.478,0.162,-0.259,0.116,-0.211,-0.538,0.025
'0:04.656',-0.007,-0.945,-0.938,0.476,0.466,-0.941,0.137,0.170,0.476,0.162,-0.260,0.116,-0.214,-0.543,0.025
'0:04.657',-0.009,-0.949,-0.940,0.479,0.466,-0.945,0.138,0.169,0.475,0.161,-0.260,0.114,-0.217,-0.545,0.025
'0:04.658',-0.012,-0.948,-0.936,0.479,0.463,-0.942,0.140,0.170,0.474,0.159,-0.263,0.112,-0.221,-0.543,0.026
'0:04.659',-0.013,-0.949,-0.936,0.480,0.462,-0.943,0.138,0.168,0.473,0.157,-0.265,0.110,-0.222,-0.549,0.026
'0:04.660',-0.010,-0.951,-0.941,0.480,0.466,-0.946,0.133,0.164,0.469,0.152,-0.268,0.106,-0.221,-0.555,0.025
'0:04.661',-0.005,-0.945,-0.940,0.474,0.468,-0.943,0.134,0.163,0.466,0.149,-0.269,0.103,-0.221,-0.552,0.022
'0:04.662',-0.004,-0.948,-0.943,0.475,0.469,-0.946,0.137,0.165,0.466,0.150,-0.268,0.103,-0.221,-0.556,0.022
'0:04.663',-0.009,-0.957,-0.948,0.482,0.470,-0.952,0.138,0.163,0.465,0.149,-0.270,0.102,-0.227,-0.564,0.019
'0:04.664',-0.009,-0.957,-0.948,0.483,0.469,-0.953,0.137,0.161,0.464,0.149,-0.271,0.101,-0.229,-0.562,0.021
'0:04.665',-0.012,-0.955,-0.944,0.483,0.466,-0.950,0.134,0.160,0.461,0.145,-0.272,0.100,-0.228,-0.560,0.024
'0:04.666',-0.009,-0.956,-0.947,0.482,0.469,-0.951,0.134,0.157,0.459,0.141,-0.275,0.095,-0.229,-0.555,0.026
'0:04.667',-0.005,-0.955,-0.950,0.480,0.473,-0.953,0.132,0.157,0.459,0.141,-0.276,0.093,-0.230,-0.552,0.031
'0:04.668',-0.008,-0.958,-0.950,0.482,0.471,-0.954,0.131,0.155,0.460,0.140,-0.274,0.093,-0.231,-0.556,0.032
'0:04.669',-0.009,-0.958,-0.949,0.483,0.470,-0.953,0.134,0.155,0.461,0.141,-0.275,0.094,-0.229,-0.555,0.033
'0:04.670',-0.010,-0.955,-0.945,0.482,0.468,-0.950,0.136,0.157,0.461,0.140,-0.274,0.095,-0.232,-0.554,0.033
'0:04.671',-0.015,-0.957,-0.942,0.485,0.464,-0.950,0.135,0.154,0.460,0.138,-0.275,0.094,-0.232,-0.551,0.035
'0:04.672',-0.017,-0.961,-0.945,0.488,0.464,-0.953,0.134,0.154,0.459,0.136,-0.277,0.092,-0.233,-0.548,0.036
'0:04.673',-0.017,-0.963,-0.947,0.489,0.466,-0.955,0.133,0.153,0.457,0.136,-0.279,0.092,-0.233,-0.548,0.033
'0:04.674',-0.017,-0.962,-0.946,0.489,0.465,-0.954,0.134,0.152,0.457,0.136,-0.280,0.092,-0.232,-0.545,0.033
'0:04.675',-0.015,-0.963,-0.949,0.488,0.468,-0.956,0.137,0.153,0.458,0.134,-0.278,0.091,-0.234,-0.545,0.036
'0:04.676',-0.015,-0.963,-0.947,0.489,0.466,-0.955,0.139,0.154,0.456,0.136,-0.278,0.089,-0.236,-0.552,0.035
'0:04.677',-0.018,-0.964,-0.946,0.490,0.465,-0.955,0.138,0.153,0.455,0.134,-0.281,0.089,-0.238,-0.556,0.031
'0:04.678',-0.018,-0.966,-0.949,0.492,0.466,-0.958,0.138,0.153,0.456,0.135,-0.279,0.090,-0.237,-0.554,0.035
'0:04.679',-0.020,-0.968,-0.948,0.493,0.464,-0.958,0.140,0.154,0.455,0.136,-0.278,0.088,-0.239,-0.552,0.041
'0:04.680',-0.019,-0.966,-0.947,0.492,0.464,-0.957,0.138,0.153,0.454,0.133,-0.281,0.086,-0.240,-0.550,0.042
'0:04.681',-0.018,-0.962,-0.945,0.489,0.464,-0.954,0.136,0.151,0.453,0.132,-0.282,0.087,-0.239,-0.551,0.038
'0:04.682',-0.015,-0.962,-0.948,0.487,0.467,-0.955,0.139,0.154,0.455,0.135,-0.281,0.089,-0.240,-0.558,0.035
'0:04.683',-0.014,-0.963,-0.949,0.488,0.468,-0.956,0.141,0.154,0.454,0.135,-0.281,0.087,-0.241,-0.565,0.033
'0:04.684',-0.016,-0.965,-0.949,0.490,0.467,-0.957,0.141,0.154,0.453,0.133,-0.280,0.087,-0.239,-0.562,0.032
'0:04.685',-0.017,-0.964,-0.948,0.490,0.466,-0.956,0.140,0.154,0.452,0.133,-0.281,0.087,-0.240,-0.561,0.032
'0:04.686',-0.015,-0.962,-0.947,0.488,0.466,-0.954,0.138,0.150,0.449,0.129,-0.283,0.086,-0.239,-0.558,0.033
'0:04.687',-0.013,-0.963,-0.951,0.487,0.469,-0.957,0.137,0.151,0.448,0.128,-0.282,0.084,-0.240,-0.553,0.035
'0:04.688',-0.018,-0.968,-0.951,0.492,0.467,-0.960,0.136,0.150,0.448,0.129,-0.283,0.082,-0.241,-0.558,0.036
'0:04.689',-0.020,-0.970,-0.950,0.494,0.465,-0.960,0.137,0.148,0.447,0.127,-0.284,0.083,-0.242,-0.559,0.040
'0:04.690',-0.022,-0.971,-0.948,0.496,0.463,-0.959,0.139,0.149,0.448,0.128,-0.283,0.083,-0.243,-0.558,0.038
'0:04.691',-0.025,-0.976,-0.951,0.500,0.463,-0.963,0.141,0.150,0.450,0.130,-0.280,0.086,-0.242,-0.560,0.039
'0:04.692',-0.022,-0.975,-0.952,0.498,0.465,-0.964,0.137,0.147,0.446,0.125,-0.281,0.084,-0.242,-0.555,0.039
'0:04.693',-0.022,-0.973,-0.951,0.497,0.465,-0.962,0.136,0.145,0.447,0.125,-0.280,0.082,-0.240,-0.552,0.038
'0:04.694',-0.022,-0.968,-0.946,0.494,0.462,-0.957,0.138,0.146,0.448,0.126,-0.279,0.083,-0.240,-0.551,0.039
'0:04.695',-0.025,-0.969,-0.943,0.497,0.459,-0.956,0.140,0.147,0.448,0.127,-0.279,0.085,-0.240,-0.554,0.039
'0:04.696',-0.025,-0.973,-0.948,0.499,0.461,-0.960,0.142,0.149,0.449,0.130,-0.277,0.086,-0.242,-0.558,0.042
'0:04.697',-0.025,-0.972,-0.946,0.498,0.460,-0.959,0.141,0.148,0.447,0.129,-0.278,0.085,-0.244,-0.557,0.042
'0:04.698',-0.027,-0.972,-0.945,0.499,0.459,-0.958,0.141,0.148,0.447,0.129,-0.278,0.086,-0.242,-0.555,0.040
'0:04.699',-0.025,-0.976,-0.951,0.500,0.463,-0.963,0.145,0.150,0.449,0.130,-0.277,0.086,-0.244,-0.555,0.040
'0:04.700',-0.024,-0.975,-0.951,0.499,0.464,-0.963,0.143,0.151,0.450,0.130,-0.277,0.087,-0.242,-0.556,0.040
'0:04.701',-0.021,-0.970,-0.949,0.495,0.464,-0.959,0.142,0.149,0.448,0.130,-0.277,0.086,-0.241,-0.556,0.041
'0:04.702',-0.019,-0.968,-0.949,0.493,0.465,-0.959,0.141,0.150,0.449,0.132,-0.275,0.086,-0.242,-0.558,0.039
'0:04.703',-0.018,-0.966,-0.948,0.492,0.465,-0.957,0.138,0.148,0.447,0.130,-0.276,0.085,-0.242,-0.558,0.038
'0:04.704',-0.017,-0.964,-0.948,0.490,0.466,-0.956,0.139,0.148,0.447,0.129,-0.276,0.086,-0.241,-0.559,0.038
'0:04.705',-0.018,-0.966,-0.948,0.492,0.465,-0.957,0.138,0.149,0.448,0.129,-0.275,0.086,-0.241,-0.559,0.037
'0:04.706',-0.021,-0.970,-0.949,0.494,0.465,-0.959,0.139,0.147,0.445,0.126,-0.277,0.085,-0.242,-0.559,0.037
'0:04.707',-0.020,-0.969,-0.949,0.494,0.465,-0.959,0.140,0.148,0.445,0.126,-0.277,0.086,-0.241,-0.558,0.037
'0:04.708',-0.020,-0.969,-0.949,0.494,0.465,-0.959,0.141,0.148,0.446,0.125,-0.275,0.085,-0.241,-0.555,0.038
'0:04.709',-0.022,-0.967,-0.944,0.494,0.461,-0.956,0.141,0.148,0.446,0.126,-0.274,0.086,-0.241,-0.557,0.039
'0:04.710',-0.022,-0.967,-0.944,0.494,0.461,-0.956,0.139,0.148,0.445,0.125,-0.274,0.084,-0.244,-0.555,0.038
'0:04.711',-0.021,-0.970,-0.949,0.494,0.465,-0.959,0.139,0.149,0.446,0.124,-0.275,0.083,-0.244,-0.556,0.038
'0:04.712',-0.026,-0.973,-0.946,0.499,0.460,-0.960,0.139,0.147,0.444,0.122,-0.277,0.082,-0.243,-0.558,0.036
'0:04.713',-0.025,-0.973,-0.948,0.498,0.462,-0.960,0.138,0.146,0.444,0.121,-0.278,0.080,-0.245,-0.554,0.037
'0:04.714',-0.025,-0.972,-0.947,0.498,0.461,-0.960,0.138,0.146,0.443,0.120,-0.278,0.081,-0.243,-0.553,0.039
'0:04.715',-0.026,-0.974,-0.947,0.499,0.461,-0.960,0.138,0.146,0.442,0.120,-0.276,0.080,-0.244,-0.553,0.037
'0:04.716',-0.022,-0.977,-0.955,0.499,0.466,-0.966,0.140,0.148,0.443,0.122,-0.275,0.082,-0.244,-0.558,0.038
'0:04.717',-0.022,-0.980,-0.957,0.501,0.468,-0.969,0.140,0.147,0.444,0.122,-0.275,0.082,-0.244,-0.562,0.038
'0:04.718',-0.024,-0.977,-0.952,0.500,0.464,-0.964,0.139,0.146,0.444,0.122,-0.277,0.083,-0.244,-0.561,0.035
'0:04.719',-0.027,-0.978,-0.951,0.502,0.462,-0.964,0.141,0.147,0.443,0.121,-0.274,0.083,-0.245,-0.563,0.034
'0:04.720',-0.027,-0.976,-0.949,0.501,0.461,-0.963,0.141,0.148,0.443,0.123,-0.273,0.083,-0.244,-0.561,0.035
'0:04.721',-0.025,-0.969,-0.944,0.496,0.460,-0.956,0.140,0.147,0.444,0.124,-0.273,0.083,-0.242,-0.555,0.038
'0:04.722',-0.023,-0.966,-0.943,0.494,0.461,-0.955,0.141,0.151,0.445,0.126,-0.271,0.084,-0.244,-0.556,0.035
'0:04.723',-0.022,-0.963,-0.941,0.492,0.460,-0.952,0.141,0.151,0.444,0.128,-0.274,0.084,-0.244,-0.557,0.031
'0:04.724',-0.021,-0.961,-0.940,0.491,0.460,-0.951,0.143,0.150,0.445,0.126,-0.275,0.083,-0.243,-0.555,0.030
'0:04.725',-0.021,-0.965,-0.944,0.493,0.462,-0.955,0.141,0.150,0.444,0.123,-0.276,0.081,-0.243,-0.554,0.035
'0:04.726',-0.024,-0.972,-0.948,0.498,0.462,-0.960,0.140,0.149,0.444,0.122,-0.276,0.083,-0.243,-0.554,0.041
'0:04.727',-0.029,-0.976,-0.947,0.501,0.459,-0.961,0.143,0.150,0.446,0.122,-0.273,0.084,-0.242,-0.555,0.042
'0:04.728',-0.027,-0.978,-0.951,0.502,0.462,-0.964,0.143,0.150,0.446,0.124,-0.273,0.084,-0.241,-0.558,0.040
'0:04.729',-0.028,-0.979,-0.950,0.503,0.462,-0.965,0.143,0.151,0.447,0.126,-0.274,0.083,-0.243,-0.558,0.040
'0:04.730',-0.028,-0.974,-0.946,0.500,0.460,-0.960,0.143,0.151,0.447,0.125,-0.275,0.082,-0.245,-0.557,0.038
'0:04.731',-0.025,-0.974,-0.949,0.499,0.462,-0.961,0.143,0.152,0.447,0.126,-0.276,0.083,-0.246,-0.557,0.037
'0:04.732',-0.026,-0.976,-0.949,0.501,0.462,-0.963,0.142,0.153,0.448,0.123,-0.276,0.082,-0.244,-0.556,0.036
'0:04.733',-0.025,-0.972,-0.947,0.498,0.461,-0.959,0.141,0.151,0.447,0.120,-0.275,0.080,-0.245,-0.551,0.036
'0:04.734',-0.024,-0.974,-0.951,0.498,0.464,-0.962,0.141,0.150,0.444,0.119,-0.278,0.081,-0.244,-0.550,0.037
'0:04.735',-0.020,-0.975,-0.955,0.497,0.468,-0.965,0.142,0.152,0.446,0.121,-0.278,0.082,-0.243,-0.553,0.038
'0:04.736',-0.020,-0.973,-0.953,0.496,0.467,-0.963,0.146,0.153,0.446,0.123,-0.278,0.081,-0.246,-0.556,0.038
'0:04.737',-0.021,-0.980,-0.958,0.500,0.469,-0.969,0.147,0.156,0.448,0.126,-0.276,0.083,-0.245,-0.560,0.038
'0:04.738',-0.021,-0.982,-0.961,0.501,0.470,-0.971,0.146,0.156,0.448,0.125,-0.276,0.080,-0.245,-0.561,0.037
'0:04.739',-0.023,-0.978,-0.955,0.500,0.467,-0.967,0.145,0.153,0.444,0.120,-0.279,0.079,-0.246,-0.561,0.038
'0:04.740',-0.023,-0.972,-0.949,0.497,0.464,-0.961,0.143,0.151,0.445,0.119,-0.279,0.077,-0.245,-0.558,0.038
'0:04.741',-0.024,-0.970,-0.946,0.496,0.462,-0.958,0.143,0.152,0.444,0.121,-0.280,0.078,-0.245,-0.558,0.037
'0:04.742',-0.026,-0.973,-0.947,0.499,0.461,-0.960,0.144,0.153,0.444,0.120,-0.281,0.078,-0.246,-0.562,0.033
'0:04.743',-0.027,-0.973,-0.946,0.499,0.460,-0.960,0.139,0.152,0.444,0.120,-0.281,0.076,-0.247,-0.561,0.029
'0:04.744',-0.026,-0.974,-0.948,0.500,0.461,-0.961,0.141,0.152,0.444,0.122,-0.281,0.077,-0.246,-0.562,0.029
'0:04.745',-0.027,-0.977,-0.950,0.501,0.462,-0.963,0.146,0.154,0.445,0.121,-0.283,0.076,-0.245,-0.561,0.033
'0:04.746',-0.029,-0.980,-0.951,0.503,0.462,-0.965,0.142,0.153,0.447,0.119,-0.283,0.075,-0.244,-0.553,0.035
'0:04.747',-0.028,-0.978,-0.949,0.502,0.461,-0.963,0.140,0.151,0.448,0.117,-0.282,0.075,-0.241,-0.551,0.035
'0:04.748',-0.035,-0.982,-0.948,0.508,0.457,-0.965,0.140,0.152,0.448,0.118,-0.283,0.075,-0.242,-0.556,0.036
'0:04.749',-0.038,-0.987,-0.949,0.512,0.456,-0.968,0.139,0.152,0.447,0.117,-0.286,0.072,-0.249,-0.558,0.032
'0:04.750',-0.036,-0.985,-0.948,0.510,0.456,-0.966,0.140,0.151,0.448,0.117,-0.284,0.072,-0.249,-0.559,0.028
'0:04.751',-0.037,-0.987,-0.950,0.511,0.457,-0.968,0.141,0.153,0.449,0.119,-0.281,0.075,-0.244,-0.560,0.024
'0:04.752',-0.035,-0.986,-0.950,0.510,0.458,-0.968,0.140,0.153,0.448,0.118,-0.283,0.073,-0.244,-0.557,0.025
'0:04.753',-0.035,-0.985,-0.951,0.509,0.459,-0.968,0.141,0.153,0.450,0.118,-0.284,0.073,-0.245,-0.551,0.034
'0:04.754',-0.033,-0.985,-0.952,0.508,0.460,-0.968,0.141,0.154,0.450,0.118,-0.284,0.072,-0.246,-0.550,0.035
'0:04.755',-0.033,-0.984,-0.951,0.508,0.459,-0.967,0.141,0.156,0.451,0.120,-0.282,0.074,-0.245,-0.553,0.034
'0:04.756',-0.029,-0.982,-0.953,0.505,0.462,-0.967,0.144,0.160,0.454,0.124,-0.280,0.077,-0.244,-0.556,0.032
'0:04.757',-0.027,-0.980,-0.953,0.503,0.464,-0.967,0.144,0.158,0.453,0.123,-0.282,0.076,-0.244,-0.556,0.032
'0:04.758',-0.029,-0.980,-0.951,0.504,0.461,-0.966,0.144,0.157,0.452,0.122,-0.282,0.077,-0.243,-0.555,0.031
'0:04.759',-0.030,-0.981,-0.951,0.505,0.461,-0.966,0.144,0.159,0.454,0.123,-0.284,0.077,-0.244,-0.555,0.030
'0:04.760',-0.029,-0.984,-0.955,0.505,0.464,-0.969,0.142,0.157,0.452,0.120,-0.286,0.074,-0.242,-0.554,0.033
'0:04.761',-0.028,-0.981,-0.954,0.504,0.464,-0.967,0.141,0.156,0.450,0.120,-0.286,0.075,-0.241,-0.554,0.031
'0:04.762',-0.024,-0.978,-0.953,0.500,0.465,-0.965,0.141,0.157,0.452,0.121,-0.286,0.073,-0.243,-0.554,0.030
'0:04.763',-0.022,-0.976,-0.954,0.499,0.466,-0.965,0.141,0.157,0.452,0.122,-0.287,0.073,-0.242,-0.550,0.030
'0:04.764',-0.026,-0.979,-0.952,0.502,0.464,-0.966,0.141,0.157,0.451,0.121,-0.288,0.072,-0.244,-0.554,0.030
'0:04.765',-0.029,-0.980,-0.951,0.504,0.461,-0.966,0.141,0.156,0.450,0.120,-0.288,0.070,-0.245,-0.558,0.030
'0:04.766',-0.029,-0.977,-0.948,0.503,0.459,-0.963,0.141,0.154,0.450,0.118,-0.288,0.070,-0.243,-0.554,0.029
'0:04.767',-0.030,-0.978,-0.949,0.503,0.460,-0.963,0.141,0.155,0.450,0.118,-0.288,0.070,-0.244,-0.556,0.029
'0:04.768',-0.029,-0.981,-0.952,0.504,0.462,-0.967,0.142,0.160,0.453,0.121,-0.285,0.073,-0.243,-0.559,0.030
'0:04.769',-0.025,-0.980,-0.954,0.502,0.465,-0.967,0.141,0.159,0.453,0.120,-0.286,0.073,-0.243,-0.558,0.029
'0:04.770',-0.025,-0.977,-0.951,0.501,0.463,-0.964,0.142,0.160,0.454,0.121,-0.286,0.074,-0.243,-0.556,0.031
'0:04.771',-0.028,-0.978,-0.951,0.502,0.462,-0.965,0.143,0.161,0.455,0.122,-0.286,0.075,-0.242,-0.556,0.030
'0:04.772',-0.028,-0.981,-0.954,0.504,0.464,-0.967,0.142,0.162,0.453,0.121,-0.287,0.073,-0.244,-0.555,0.033
'0:04.773',-0.026,-0.984,-0.957,0.504,0.466,-0.970,0.145,0.162,0.456,0.121,-0.285,0.074,-0.244,-0.554,0.037
'0:04.774',-0.025,-0.982,-0.958,0.503,0.467,-0.970,0.146,0.164,0.460,0.123,-0.284,0.075,-0.243,-0.556,0.027
